"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","23","0.9117647058823529","239","40.44351464435147","-5.249134948096886","4.570934256055363","259.9933377644054","0.8966390174806089"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","24","0.8546712802768166","239","40.50627615062761","-6.477508650519031","4.799307958477509","282.4747281437237","0.9538858150039973"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","25","0.9307958477508651","239","40.32217573221757","-4.845155709342561","4.460207612456747","267.11060496843055","0.9218843701151987"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","26","0.9100346020761245","239","40.43933054393305","-4.877162629757786","4.366782006920415","272.32170621710515","0.8961971923823578"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","27","0.8858131487889274","239","40.62343096234309","-6.098615916955017","4.70242214532872","286.2355670677089","0.9920040771268451"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","28","0.9134948096885813","239","40.56066945606695","-5.163494809688581","4.475778546712803","262.55573015319203","0.9635052171687862"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","29","0.9100346020761245","239","40.49372384937239","-5.006055363321799","4.5","273.5562000096571","1.00063937735543"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","30","0.9100346020761245","239","40.38493723849373","-4.940311418685121","4.444636678200692","249.07071514026967","0.9217373080165576"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","31","0.8910034602076125","239","40.72384937238494","-6.064878892733564","4.705882352941177","290.1648113719433","0.840202760216121"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","32","0.9013840830449827","239","40.51046025104603","-5.057958477508651","4.474048442906574","260.40346306515073","0.9099643734248667"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","33","0.8806228373702422","239","40.81589958158996","-6.242214532871972","4.7456747404844295","260.81912732214727","0.903434137445875"
